SCHL,WAGP,FOD1P,OCCP,AGEP
16,0,,,58
16,25000,,6230,60
20,70000,,1530,57
16,10000,,3160,24
16,40000,,7000,45
20,50000,,3255,48
19,8000,,2000,22
14,0,,,15
20,21000,,800,33
20,20000,,6355,35
18,35000,,3850,45
21,13000,2405,5620,22
19,0,,4760,22
21,0,5506,,74
21,0,5200,,73
16,23000,,6355,34
16,0,,4250,64
16,18000,,4720,56
17,37500,,5000,58
17,0,,,58
19,0,,,75
21,74000,2901,3255,36
21,140000,2409,1530,39
16,29000,,5510,86
19,63000,,5165,56
19,18000,,5860,22
21,0,6203,4600,43
2,,,,4
2,,,,4
24,100000,3301,2200,48
19,26000,,5810,56
11,,,,14
21,0,2602,,83
16,28000,,5100,42
16,20000,,4040,39
12,0,,,15
4,,,,8
21,45000,2901,4320,61
16,0,,,63
21,75000,6203,3300,54
10,7500,,4050,48
14,0,,9620,25
13,0,,4760,20
16,28000,,9600,49
12,0,,2340,47
14,5000,,9620,19
18,0,,,68
14,0,,,66
18,52000,,1020,48
21,68000,6402,4710,43
21,0,5200,,78
22,110000,6107,3258,39
21,60000,6109,3600,42
18,0,,,79
16,35000,,7200,24
13,23500,,9120,52
16,61000,,6230,51
19,24000,,5240,22
20,80000,,1530,34
16,21000,,8800,32
9,,,,11
4,,,,6
2,0,,4250,64
7,0,,,76
21,0,1401,,89
20,71000,,430,63
17,0,,,63
18,20000,,9120,49
19,20000,,3300,27
5,,,,9
1,,,,6
20,8800,,5700,43
21,70000,2400,4850,45
14,400,,4130,17
11,,,,14
8,,,,10
22,100000,3600,1005,46
24,150000,3600,1650,46
16,0,,,18
18,15000,,6200,52
19,0,,,78
16,0,,,78
23,73000,5506,2100,39
22,0,2304,2340,39
1,,,,5
,,,,1
16,100000,,630,50
19,0,,,94
22,64000,2102,1050,53
19,0,,4920,24
21,0,6402,2830,36
19,30000,,2000,42
21,48000,2102,9130,29
19,32000,,5120,28
5,,,,8
1,,,,3
3,,,,5
21,0,2102,,57
12,32000,,4220,45
17,7200,,9130,42
15,0,,5700,39
8,,,,11
4,,,,7
22,75000,5506,430,56
21,80000,1901,2830,52
1,0,,,54
24,100000,5506,2200,66
21,0,1501,4920,63
24,21000,2405,2040,76
22,0,2304,2040,72
21,58000,2403,1530,24
21,30000,6201,800,24
22,120000,6402,4700,62
22,0,2310,,63
19,44100,,8140,28
20,19400,,5160,27
1,,,,3
19,0,,,88
18,0,,,87
18,46300,,5120,61
21,107000,3700,1105,52
21,43000,5003,1610,50
24,100000,5501,2200,68
21,0,5507,,58
21,33000,5501,2000,23
14,39000,,5240,39
19,41000,,5510,37
8,,,,12
21,40000,5200,2010,42
21,0,5506,,46
4,,,,8
2,,,,5
22,160000,2408,1530,44
22,60000,2102,1005,44
6,,,,9
3,,,,6
1,,,,4
21,6000,6206,5400,40
19,63000,,1107,46
4,,,,6
6,,,,8
19,25000,,7900,21
16,0,,,72
16,33000,,5620,52
11,0,,4110,43
18,15700,,4720,29
1,,,,4
20,55000,,4810,66
16,130000,,740,43
17,78000,,9130,59
16,47000,,9130,26
21,55000,6209,120,43
19,0,,4230,40
14,28500,,4700,40
12,0,,,15
9,,,,12
20,50000,,3255,40
21,60000,2400,1530,47
10,,,,12
8,,,,10
1,,,,4
16,78000,,6260,57
18,89000,,7340,35
19,0,,4510,39
3,,,,6
2,,,,5
12,0,,,69
13,0,,,49
12,18800,,4220,37
22,0,5501,630,35
24,156000,5501,1800,40
,,,,2
16,0,,4200,66
6,28000,,4220,48
9,24000,,6200,42
12,6000,,4220,29
9,1600,,6260,20
1,,,,5
6,31500,,4230,46
21,17000,6402,4110,28
16,30000,,8255,30
,,,,2
12,0,,,63
21,65000,3401,50,25
22,104000,6203,430,39
16,30000,,5700,41
18,20000,,630,18
14,4000,,4720,16
16,16000,,4700,39
7,,,,11
16,14000,,5620,40
19,27000,,9820,27
19,3000,,5700,23
20,80000,,20,53
18,8000,,2630,47
14,0,,,17
14,0,,,63
21,59000,3202,4700,36
16,57000,,4700,64
1,,,,4
16,0,,7750,63
16,28300,,4510,41
16,0,,,73
21,20000,2407,1010,42
21,0,6001,9920,50
19,0,,4600,71
16,0,,430,69
16,27600,,5600,63
20,36000,,9620,56
16,0,,4510,47
19,75000,,430,48
21,2000,6203,940,55
16,135000,,110,51
10,,,,13
21,0,2300,,90
16,40000,,9620,59
17,10000,,4030,49
18,0,,5400,23
,,,,1
,,,,0
16,60000,,7140,25
18,81000,,6200,58
16,36900,,5700,54
15,0,,4220,72
10,0,,,72
17,0,,9620,43
20,0,,4710,60
20,75000,,800,59
18,35000,,7420,31
10,0,,,15
19,40000,,6200,37
21,0,1901,,37
7,,,,9
6,,,,8
20,100000,,3710,49
18,30000,,120,48
21,30000,6107,3255,24
18,18000,,4720,21
8,,,,11
19,19000,,5260,22
12,0,,,72
9,0,,,67
19,5000,,430,27
22,60000,6200,850,31
21,140000,6004,2630,48
21,75000,5501,710,49
12,0,,,15
14,0,,,47
16,0,,,78
16,52000,,6355,25
20,123000,,1020,58
16,0,,,62
15,0,,4510,34
11,0,,,15
6,,,,10
4,,,,8
16,0,,,90
16,0,,,59
17,10900,,3600,32
16,5000,,3600,26
21,80000,6201,50,35
16,60000,,1010,30
16,0,,7560,64
17,0,,,62
13,32000,,6230,28
16,15000,,4710,21
16,70000,,5240,39
21,75000,3301,4710,38
2,,,,4
16,107000,,220,53
20,2000,,4230,53
19,9600,,3645,20
20,68000,,3255,50
17,0,,,62
20,90000,,20,56
21,6000,5503,4430,23
22,80000,2300,2310,51
16,0,,,82
18,32800,,6260,54
11,0,,,48
14,7000,,4720,16
14,2500,,4060,16
20,20000,,6230,61
19,21000,,310,60
16,22000,,5700,54
18,12000,,810,54
23,0,3600,710,59
21,110000,5003,2060,61
19,15000,,7340,26
19,0,,700,28
,,,,0
20,39000,,5240,26
2,,,,6
15,20000,,6260,30
11,12000,,4230,23
22,94000,3600,1020,60
21,53000,6402,630,34
21,55000,3301,1050,24
16,0,,,72
21,0,5200,800,83
22,60000,2400,1360,86
16,0,,,76
19,12000,,2800,76
22,0,5200,2010,61
18,0,,,65
16,80000,,7200,53
16,3000,,4510,28
16,0,,4700,50
17,38000,,5820,34
14,30000,,4110,44
16,8000,,8740,19
16,3000,,4720,18
1,,,,5
24,415000,6106,3060,65
21,415000,6206,10,57
16,0,,,74
16,0,,,94
17,0,,,49
20,12000,,9130,51
16,20000,,5400,44
13,7000,,9130,25
20,35000,,3110,24
3,,,,7
1,,,,3
21,1600,3401,4430,58
23,415000,5507,4820,56
21,0,6004,140,67
21,0,3606,4710,66
22,52000,6000,430,44
22,50000,6007,5000,39
18,40000,,4540,68
18,0,,5420,77
15,0,,4030,51
16,141000,,430,46
16,71000,,1105,49
19,6700,,4760,19
13,0,,,15
20,82000,,1050,39
22,112000,6203,2200,39
2,,,,4
4,,,,7
20,10000,,2300,65
20,96000,,150,37
22,0,6002,,28
,,,,0
19,0,,,79
19,15700,,9130,46
20,10000,,800,20
13,0,,,16
9,,,,12
19,47000,,4700,44
22,140000,5301,10,41
17,11000,,7240,39
21,7300,6203,4140,41
16,0,,9920,24
16,0,,8256,64
14,500,,4250,17
19,35000,,8965,50
22,0,5507,,71
24,15200,6402,2200,66
16,0,,,61
14,25000,,8965,62
14,40000,,7700,43
16,34000,,5940,38
19,0,,,19
2,,,,6
16,0,,,75
21,50000,3301,5700,52
21,26000,5200,3600,29
21,36000,2408,1410,29
,,,,1
13,0,,,57
22,0,2306,2310,58
16,62000,,6260,47
21,30000,5301,3850,24
,,,,1
19,50000,,3850,28
19,62000,,3500,44
18,18000,,9130,24
23,80000,5503,2100,58
23,75000,6107,3255,54
21,23000,2901,2310,26
22,0,4901,,94
15,7800,,9620,56
21,415000,3600,4710,60
16,0,,,56
22,0,1401,430,60
21,70000,2399,7140,56
20,38000,,5700,45
21,23000,6004,4110,24
23,150000,5003,3110,36
19,77000,,4920,53
3,,,,7
3,,,,7
21,60000,6107,3255,40
17,20000,,8255,57
15,0,,6230,58
12,0,,,31
20,32000,,5700,41
19,0,,,56
20,60000,,3255,62
21,65000,6200,7130,63
21,50000,1301,1760,53
16,50000,,9620,53
22,60000,2305,2310,35
23,49000,5404,2100,30
1,,,,5
1,,,,4
19,48000,,1050,41
18,58000,,4700,39
10,,,,12
18,0,,3640,45
22,85000,2304,2310,37
21,92000,2306,2310,42
1,,,,4
,,,,0
21,65000,6207,850,36
22,80000,6107,3258,29
,,,,2
,,,,0
24,0,2304,,71
9,0,,,38
21,30000,4801,2040,32
21,12000,6000,2540,29
1,,,,3
,,,,0
11,0,,,73
16,0,,,81
22,200000,3601,7700,46
24,36000,6102,3140,45
10,,,,13
8,,,,11
20,4100,,2720,22
21,60000,1904,2850,35
16,54000,,800,25
16,8000,,5620,29
1,,,,3
22,54000,3401,2310,61
20,52000,,410,47
19,54000,,120,49
12,0,,,15
9,,,,12
19,7000,,4720,21
24,415000,3600,3060,45
20,0,,,42
7,,,,10
5,,,,9
3,,,,6
1,,,,3
16,31200,,4510,25
21,42000,6203,1107,25
21,5700,5301,4250,22
21,12000,6402,710,61
21,100000,5507,4840,59
5,0,,5110,29
19,68000,,1965,40
1,,,,4
1,,,,3
16,24000,,7020,61
9,22800,,9640,26
11,16300,,4020,26
10,,,,11
19,0,,,87
19,0,,,69
17,39100,,5110,60
22,0,3700,1006,69
19,103000,,430,59
19,0,,4620,62
16,0,,4720,21
,,,,2
14,3200,,5240,21
20,0,,,50
22,59000,6107,350,47
19,18700,,4020,29
19,1100,,5610,22
21,0,5507,,76
21,0,3301,8750,81
19,0,,4700,46
19,0,,4760,47
1,5000,,9130,75
20,0,,,68
19,26100,,3540,42
9,,,,11
20,0,,,89
16,0,,,71
15,0,,,88
16,0,,,78
16,0,,,76
22,0,3301,,85
16,22500,,6230,51
21,3000,3600,8740,69
23,0,6201,20,83
16,0,,,80
22,32500,2304,2310,52
13,0,,,73
18,0,,,94
23,185000,6402,2100,60
22,35000,2300,2200,60
20,30000,,5260,30
21,15000,1901,4760,28
16,0,,,85
22,0,2304,,84
22,72000,1501,2310,43
21,0,6203,6230,40
9,,,,12
5,,,,9
21,0,6203,800,52
21,18000,5200,5810,49
14,0,,7340,42
16,30000,,4510,38
12,0,,,15
5,,,,9
2,,,,4
21,62000,2412,600,25
18,50000,,9130,48
18,10000,,2540,54
18,0,,,18
19,0,,,56
22,87000,6109,3245,54
20,12000,,4110,24
16,0,,520,67
16,0,,4920,53
18,0,,,82
19,51000,,9810,30
2,,,,4
18,40000,,5820,41
20,40000,,5540,48
16,20200,,9120,44
17,26000,,6260,18
16,42000,,5700,72
22,70000,1401,2310,51
10,,,,13
8,,,,11
5,,,,8
16,32000,,4110,54
16,10300,,2850,75
17,0,,,40
13,0,,,17
16,25000,,8760,26
16,35000,,310,67
16,0,,,67
21,68000,6206,20,43
21,0,3301,,40
4,,,,7
4,,,,7
22,51000,5404,2010,34
22,71000,6203,136,31
22,44900,5505,1820,39
22,43500,6402,230,37
7,,,,9
3,,,,7
18,0,,,73
19,0,,,68
22,130000,6201,800,41
22,0,6203,,41
5,,,,8
3,,,,6
19,0,,,19
20,48000,,8810,34
20,28000,,800,38
2,,,,5
2,,,,5
,,,,2
20,0,,,59
16,35000,,3930,33
21,140000,1901,1006,59
23,42000,3301,2040,70
21,0,6109,,76
21,0,2300,,62
18,0,,,72
14,4200,,4220,80
12,4200,,4220,79
22,62000,6203,1107,52
22,118000,3401,1220,53
19,105000,,1050,40
16,4800,,4700,40
13,0,,,16
8,,,,11
16,28000,,4520,35
16,49600,,4020,48
20,4200,,5400,26
14,21000,,4600,21
1,,,,5
18,25000,,2330,42
11,,,,14
8,,,,11
14,0,,,88
19,80000,,2340,39
20,5000,,4030,37
6,,,,9
4,,,,7
2,,,,5
1,,,,4
1,,,,3
14,6400,,4020,17
20,32000,,3600,56
16,22000,,8450,54
16,49000,,7010,42
18,80000,,8740,49
16,70000,,530,48
18,0,,,18
17,0,,6230,51
20,13000,,3600,34
1,,,,6
1,,,,4
,,,,2
21,100000,6201,800,35
7,,,,10
,,,,2
13,0,,,87
13,0,,,84
5,,,,8
18,13000,,5820,57
21,68000,6107,3255,29
21,39000,6201,4760,34
7,,,,11
22,90000,6109,3010,33
16,45000,,4700,45
11,,,,14
24,81000,3700,1010,61
24,135000,3600,5000,40
22,126000,5003,1910,43
2,,,,5
2,,,,4
14,0,,,77
16,19000,,520,61
19,2500,,6230,19
16,24000,,7340,46
16,18000,,4610,53
16,19000,,7630,23
14,0,,,16
13,0,,,15
18,19000,,7630,32
20,12000,,4610,30
10,,,,13
5,,,,7
,,,,1
23,120000,3601,1650,46
21,10000,1902,2540,48
12,0,,,15
8,,,,11
22,0,6209,136,43
22,65000,2603,230,46
,,,,0
14,0,,,60
17,0,,,59
21,65000,5504,1310,26
18,0,,,88
15,30000,,6420,33
11,0,,,38
11,,,,14
5,,,,8
,,,,0
16,0,,,83
9,0,,,94
17,0,,3600,64
13,30000,,9130,61
1,0,,,77
1,0,,,83
21,96000,5901,136,42
21,66000,6201,800,37
12,,,,14
18,10500,,9120,62
22,63000,3700,2310,34
20,60000,,6530,41
11,0,,,15
10,,,,12
6,,,,9
16,0,,3930,47
12,0,,,15
7,,,,11
14,0,,,80
1,21100,,4220,59
20,60000,,7630,36
18,12200,,3600,29
,,,,0
18,0,,,90
21,0,2300,4760,72
19,0,,,72
19,0,,,66
16,62000,,6200,55
16,20000,,4700,25
16,8400,,4650,19
21,44200,1901,630,33
23,0,5506,3535,72
21,0,6107,,74
16,0,,,81
19,82000,,4710,47
19,55000,,710,44
16,0,,,18
21,135000,6203,710,31
21,105000,6000,9810,35
14,8000,,4220,47
16,8000,,5240,41
13,0,,4140,25
16,0,,4720,23
14,0,,,17
13,0,,,15
2,,,,5
1,,,,3
22,125000,2102,1060,37
21,90000,5098,120,33
,,,,1
20,92000,,3930,51
17,0,,4020,37
21,1200,6203,2310,47
18,67000,,5700,47
6,,,,9
21,57000,3401,430,43
13,0,,,16
12,,,,14
9,,,,12
21,28000,6203,5400,34
2,,,,5
2,,,,5
19,0,,,20
19,90000,,6230,53
18,0,,,78
14,0,,,75
16,40000,,5260,58
16,0,,630,58
12,0,,9920,16
19,0,,,87
19,20000,,4760,66
16,30000,,9120,66
15,0,,,39
19,0,,,94
21,92000,2310,2310,59
17,42300,,7330,40
19,0,,,41
12,,,,14
8,,,,11
21,66000,2408,1020,24
21,0,1105,,70
19,9600,,4700,65
19,16000,,10,58
23,0,5203,3010,55
18,0,,,20
18,0,,,72
19,2000,,2300,19
22,0,6203,230,51
16,0,,,72
23,155000,5506,3710,49
21,0,1901,726,43
8,,,,12
6,,,,9
3,,,,7
16,0,,,77
21,94000,6212,110,40
21,0,5504,,37
4,,,,7
2,,,,5
2,,,,5
23,0,2304,,62
16,0,,,63
16,34800,,9720,43
16,18800,,5300,37
3,,,,7
6,,,,9
12,0,,,73
19,32000,,5940,45
22,111000,6203,110,43
3,,,,6
2,,,,5
20,122000,,3850,52
16,14400,,3600,28
1,,,,5
20,0,,,70
21,31200,2313,5700,46
19,26200,,5240,55
22,53000,3600,150,31
19,47000,,7000,62
19,84000,,420,57
17,10000,,5620,29
17,9300,,4965,24
1,,,,3
21,84000,2102,1010,27
22,0,1501,1860,63
15,0,,,48
13,0,,,16
23,415000,3609,3060,67
18,0,,,58
17,0,,,58
20,94000,,10,55
24,11200,2309,2320,71
22,85000,6107,3258,54
16,0,,,21
13,0,,,63
21,0,2408,,72
22,83000,6107,3255,59
19,0,,4720,20
21,26000,6206,5860,29
22,70000,4101,3600,25
22,80000,2304,2310,57
18,63000,,430,58
17,0,,3930,34
19,50000,,5700,38
21,33000,6000,5000,38
10,,,,13
11,0,,,87
16,0,,,70
16,32000,,5240,50
21,14000,6200,5610,45
16,32000,,5620,40
12,0,,,16
5,,,,8
1,0,,,76
19,100000,,430,48
19,12000,,2540,47
8,,,,10
8,,,,10
16,0,,,81
23,47400,3600,1650,74
22,115000,6205,2025,52
16,0,,,89
19,24000,,110,37
14,0,,4060,18
3,,,,6
18,30000,,5860,36
14,4000,,5620,18
1,,,,4
21,0,2399,,82
19,0,,,79
16,6900,,5510,67
16,0,,5820,64
22,51000,6201,1105,31
16,0,,5700,49
18,120000,,6660,51
16,20000,,7800,25
11,35000,,6660,23
18,15000,,4110,19
21,53000,6206,4520,29
19,67000,,410,34
22,0,5501,,94
22,105000,3401,1430,54
16,50000,,7700,58
21,415000,5503,50,35
21,0,1901,4920,31
,,,,2
19,36000,,2310,51
8,,,,12
20,10800,,5120,24
19,26300,,4220,29
16,16500,,4110,25
19,33000,,6050,55
11,0,,,54
11,37000,,6220,28
9,0,,4230,24
1,,,,4
,,,,1
11,16400,,4030,26
20,15000,,4020,74
21,0,6200,4920,71
21,88000,6207,800,48
16,45000,,9620,43
13,1900,,4220,17
14,0,,,81
16,70000,,5350,59
16,80000,,2145,51
19,50000,,9000,49
10,,,,13
21,1400,3609,2340,68
21,0,3702,,94
20,52000,,310,33
19,42600,,5700,26
,,,,2
1,0,,,81
16,0,,,76
15,46000,,6355,43
16,0,,6355,22
19,0,,,58
16,0,,,56
21,100000,5301,3710,52
21,90000,6207,150,40
5,,,,7
21,67000,5003,430,60
23,25000,3301,9000,50
19,0,,2160,52
11,,,,14
18,186000,,9000,45
14,3000,,6050,17
17,13000,,9620,18
16,42000,,4710,35
16,81000,,700,54
16,20000,,9120,43
14,0,,,17
13,500,,9620,16
21,177000,3301,136,57
23,70000,5200,3060,54
19,2100,,4720,22
19,0,,,19
18,25000,,4760,39
9,32000,,4220,52
7,32500,,4600,51
19,27000,,5810,27
16,0,,9920,65
16,0,,,70
19,11200,,5140,37
16,78000,,7000,42
3,,,,6
1,,,,4
19,0,,,50
19,44000,,410,54
16,26000,,4840,49
16,65000,,5400,46
16,20000,,4840,20
16,3900,,4110,18
11,,,,14
21,30000,2300,120,57
22,100000,6203,800,57
14,0,,,26
3,,,,7
3,,,,6
1,,,,3
19,4000,,5520,47
16,20000,,9130,44
16,0,,,17
13,0,,,15
12,,,,14
10,,,,13
16,36500,,5850,44
18,150000,,2340,50
16,45200,,725,48
13,0,,,16
21,0,5507,710,61
22,85000,6203,100,63
16,0,,,81
19,4800,,5860,24
22,53000,1302,1640,51
19,0,,9920,49
17,5200,,4760,20
20,0,,,84
16,20000,,9120,58
19,1300,,3600,39
14,0,,9920,18
11,,,,14
16,70000,,220,40
12,0,,,16
18,56000,,4710,48
21,135000,2102,1020,48
19,1400,,5860,49
16,1000,,2540,19
17,0,,,16
21,70000,6107,3255,62
21,35000,5506,5860,26
16,0,,,64
22,130000,1901,10,39
21,22000,6004,2630,48
10,0,,,66
16,0,,,67
22,0,6002,2750,42
21,0,6402,,38
8,,,,11
3,,,,5
21,85000,6203,350,48
16,8000,,9620,54
21,0,2602,2300,59
23,415000,3600,3060,58
21,40000,5501,4840,28
21,136000,6203,5000,56
16,0,,930,45
21,110000,6108,3050,49
20,34000,,4510,21
22,100000,5404,430,39
21,0,2304,,40
7,,,,10
5,,,,8
3,,,,6
21,100000,2408,1006,44
21,70000,2500,1020,42
11,0,,,15
19,2500,,5700,54
16,80000,,6200,53
1,0,,,60
16,22200,,4220,21
19,0,,4710,70
24,160000,2308,430,61
24,125000,3301,2100,51
24,225000,3609,2100,50
12,0,,,15
16,15000,,4220,55
19,62000,,3850,40
19,70000,,430,44
21,20800,5500,9350,41
1,8400,,4230,32
11,,,,14
5,,,,10
12,0,,,86
10,0,,,80
16,52000,,565,36
12,1300,,9720,16
4,,,,7
19,73000,,9360,48
19,42000,,1360,40
21,66000,5200,430,32
22,28000,5506,420,34
,,,,1
19,0,,4510,33
12,0,,,16
5,,,,9
19,32000,,4700,36
16,145000,,5520,46
18,0,,,46
16,0,,9120,26
16,0,,4020,19
21,3000,3600,3300,24
21,0,3700,1965,23
16,0,,,58
16,75000,,6440,57
19,43000,,3600,44
16,50000,,6440,49
4,,,,7
16,0,,,90
18,9200,,4720,58
17,0,,6520,39
20,16900,,2300,37
1,,,,3
19,40000,,5700,39
12,50000,,6260,33
21,40000,5502,4110,21
17,22000,,4760,20
2,,,,4
21,160000,6109,4710,52
22,130000,6207,4850,49
9,,,,11
21,120000,2102,1020,42
19,70000,,110,40
22,140000,2407,1530,47
22,150000,6402,800,44
1,,,,3
16,6000,,5620,62
20,0,,,39
11,0,,205,48
11,33800,,5140,48
11,14000,,205,26
17,15000,,6050,20
11,20000,,6050,17
11,0,,,17
8,,,,10
22,0,2399,230,59
22,0,5003,230,64
19,0,,,85
12,0,,,87
16,28000,,4720,58
20,50000,,7000,45
19,60000,,5700,40
12,0,,,15
8,,,,12
21,82000,2107,430,47
21,0,2300,,80
22,35000,5200,430,26
21,38700,4000,4760,25
21,50000,4801,4850,27
20,10000,,2600,31
,,,,2
,,,,0
,,,,0
,,,,0
19,35000,,9830,22
22,85000,6102,3230,49
9,,,,12
22,60000,5507,2010,51
12,0,,,16
20,37500,,430,71
20,85000,,600,56
22,2000,5500,430,63
23,17000,2304,5700,64
21,415000,6207,120,43
21,11700,6107,3255,43
12,0,,,15
8,,,,12
5,,,,9
22,83000,2105,2010,48
13,0,,,16
8,,,,11
19,18000,,5100,47
9,,,,12
21,35000,3501,4010,56
21,10000,3700,5550,59
19,54000,,5340,31
21,18000,5501,1050,25
22,40000,2408,1410,34
16,0,,6330,62
16,15000,,4510,58
20,8000,,4110,32
16,2600,,5240,18
21,115000,2405,140,31
24,0,5202,1820,28
,,,,2
,,,,0
16,66000,,3850,49
19,30000,,800,49
19,35200,,136,38
18,33400,,8620,31
2,,,,4
7,,,,10
4,,,,7
16,900,,9360,19
18,0,,,90
13,0,,,68
14,0,,350,52
13,25000,,8220,51
19,0,,,62
16,600,,9130,24
20,7000,,8965,23
21,80000,5507,1050,45
12,,,,14
7,,,,10
21,50000,6206,4800,41
21,80000,5301,3850,30
22,50000,2300,2310,28
,,,,2
20,4000,,4040,33
20,65000,,430,33
4,,,,7
1,,,,3
13,19200,,7340,73
19,2000,,9130,53
16,1900,,8255,53
16,16800,,800,34
16,2400,,9640,29
19,27000,,5620,79
16,24000,,6440,28
8,,,,11
19,52000,,5600,35
23,150000,3606,3060,39
6,,,,9
2,,,,5
19,25000,,4110,22
,,,,1
17,3200,,8965,30
22,88000,3401,1740,59
21,122000,2408,2160,76
16,0,,,74
16,0,,,76
21,130000,5506,3850,57
22,95000,2304,2310,52
21,60000,6207,120,28
22,47000,5200,2000,28
16,75000,,3740,45
21,0,6201,430,45
22,93000,6203,10,52
16,0,,,82
21,28000,2306,2310,32
22,73000,2304,2310,32
,,,,2
13,0,,9620,40
16,40000,,5810,60
21,100000,6200,4810,57
19,0,,,53
22,93000,2399,230,55
21,0,6206,2000,55
16,0,,9720,44
16,0,,,37
11,,,,13
5,,,,9
16,0,,4760,67
21,0,2300,2016,65
21,70000,4007,530,36
21,0,3700,,67
16,75000,,4760,47
16,0,,,49
19,9000,,5400,22
16,0,,,18
13,0,,,16
19,98000,,3645,60
22,51000,6102,3230,27
22,56000,5507,2310,27
17,0,,,47
20,57000,,3700,37
19,8600,,4760,18
8,,,,11
1,44100,,2010,29
5,,,,8
1,14500,,4230,37
1,16800,,4020,41
23,88000,2304,2310,62
18,0,,,34
22,200000,2418,4820,36
8,,,,12
6,,,,10
4,,,,8
12,26000,,4520,42
13,21000,,4220,44
10,,,,13
1,,,,3
16,22000,,2300,35
16,22000,,8310,39
12,10900,,8310,17
14,0,,9920,17
10,0,,,15
3,,,,7
19,0,,5240,66
22,80000,5200,2000,63
16,23800,,5700,41
22,90000,6201,5120,65
21,0,2304,,64
22,33000,5506,800,27
21,35000,6211,2160,28
16,0,,9130,62
16,0,,,59
14,0,,,69
14,30000,,3645,48
10,,,,13
16,0,,9920,46
19,26200,,4830,47
10,,,,12
19,0,,,84
13,0,,4110,62
19,49000,,2630,55
19,0,,2000,45
19,30000,,2310,41
21,60000,6200,5700,45
,,,,0
18,10100,,3945,22
13,290,,4220,16
20,40000,,800,48
21,125000,6203,7700,50
19,0,,4250,18
21,31000,6203,4840,39
20,140000,,50,40
14,2600,,4050,17
11,,,,14
11,,,,14
21,72000,1100,9130,48
16,46000,,5700,48
16,0,,,47
13,11300,,4720,46
19,29000,,2540,25
13,2700,,5620,18
24,0,5007,,73
16,45700,,5840,43
19,0,,,71
18,0,,,66
21,75000,6107,3255,41
24,50000,5200,3060,45
10,,,,13
7,,,,11
23,0,5098,,84
21,41000,6203,2000,56
18,0,,6230,63
21,20000,6107,3255,24
12,0,,,45
18,90000,,7410,36
22,62000,2313,2310,36
5,,,,8
23,200000,6203,850,50
21,180000,5200,910,49
21,7000,6200,5160,21
18,64000,,565,60
22,112000,1501,5860,55
22,0,3700,2310,68
19,20000,,5700,60
22,11600,5200,3600,28
21,33100,3600,4040,27
16,6000,,5620,64
17,39100,,5110,60
19,59000,,4850,52
16,95000,,6700,54
20,3000,,4040,21
18,36000,,4760,25
21,120000,3301,1020,51
16,0,,,45
16,30000,,8610,51
16,0,,,51
21,0,1903,4760,23
16,20000,,5610,30
16,0,,,71
15,0,,,55
21,500,6201,710,58
22,0,6201,,64
21,7500,3609,2720,25
21,0,3301,800,85
16,0,,5120,60
21,56000,2102,2320,53
22,102000,2305,300,57
21,0,6206,4920,60
21,0,2304,,61
16,80000,,430,54
16,0,,800,51
16,0,,,66
16,62000,,630,37
21,68000,5200,136,34
2,,,,5
16,0,,,75
17,0,,,70
16,8400,,9130,45
22,49000,2304,2310,25
20,22500,,5160,27
21,58000,5506,110,35
16,33000,,5700,28
5,,,,8
19,25000,,4020,29
19,1500,,4760,23
19,30000,,4740,33
15,27400,,4740,34
1,,,,3
,,,,2
20,57000,,7420,46
21,97000,2399,940,45
10,,,,13
6,,,,10
20,0,,,69
16,0,,,66
23,14000,6100,350,55
23,94000,3600,3060,51
19,1500,,5400,19
16,33000,,7700,56
16,0,,,52
18,45000,,710,51
16,9000,,3930,51
16,68000,,630,45
22,85000,2102,1107,46
22,600,6207,5860,42
10,,,,12
7,,,,10
23,415000,1901,2100,48
22,150000,5506,1860,47
8,,,,11
7,,,,10
22,160000,2408,20,60
21,0,6107,,61
21,50000,1302,430,46
19,49000,,430,41
16,0,,,69
21,47800,5501,4850,68
21,101000,5507,5000,31
22,100000,6107,3256,45
22,130000,6107,20,46
2,,,,5
2,,,,5
21,61000,2418,1530,26
21,27000,2312,2300,24
21,49700,6206,5310,24
22,36400,5502,60,24
22,0,2408,1006,71
22,85000,6203,1650,59
20,26200,,4810,55
24,0,5506,2100,54
19,8000,,4760,19
14,0,,4760,17
16,60000,,5000,48
16,25000,,3930,61
16,28500,,3645,21
16,1200,,9620,18
16,55000,,9600,50
1,,,,5
16,33000,,4200,54
16,0,,5700,54
21,103000,2102,1220,55
13,0,,,88
16,0,,,88
21,0,3301,,58
16,24000,,410,38
21,120000,1903,2825,50
17,40000,,7430,30
18,27000,,5840,28
21,27000,6402,5260,61
21,49100,6206,540,46
23,60000,5200,3060,29
24,60000,3600,2200,30
13,0,,6420,56
19,15000,,5840,38
12,,,,14
6,,,,8
16,0,,,65
21,0,2300,,60
21,35000,5701,7240,60
21,15000,2300,5260,39
19,0,,,19
11,0,,,17
12,0,,4140,16
10,0,,,76
16,0,,4920,64
18,0,,4920,61
16,0,,,37
19,55000,,3850,35
8,,,,12
6,,,,9
1,,,,4
11,,,,13
22,65000,6107,3255,38
19,0,,4220,41
2,,,,4
19,30000,,8320,38
18,27500,,5630,50
16,0,,4230,27
,,,,0
19,0,,,54
22,0,2399,,70
22,0,5200,,71
21,5000,6201,5620,24
18,4800,,7120,27
,,,,1
16,21000,,4700,58
16,9800,,7750,27
19,0,,,78
